loop_
_atom_type_scat_symbol
_atom_type_scat_neutron_magnetic_j0_A1
_atom_type_scat_neutron_magnetic_j0_a2
_atom_type_scat_neutron_magnetic_j0_B1
_atom_type_scat_neutron_magnetic_j0_b2
_atom_type_scat_neutron_magnetic_j0_C1
_atom_type_scat_neutron_magnetic_j0_c2
_atom_type_scat_neutron_magnetic_j0_D
 O2-  0.99895  12.09652  0.28854  0.12914  0.11425 -0.22968 -0.40685 
 N2   1.00581  13.37218 -0.05868  0.07792 -0.00444  0.01678  0.05146

loop_
_atom_type_scat_symbol
_atom_type_scat_neutron_magnetic_j2_A1
_atom_type_scat_neutron_magnetic_j2_a2
_atom_type_scat_neutron_magnetic_j2_B1
_atom_type_scat_neutron_magnetic_j2_b2
_atom_type_scat_neutron_magnetic_j2_C1
_atom_type_scat_neutron_magnetic_j2_c2
_atom_type_scat_neutron_magnetic_j2_D
 O2-  0.00000   0.00000  0.00000  0.00000  0.00000  0.00000  0.00000 
 N2   0.00000   0.00000  0.00000  0.00000  0.00000  0.00000  0.00000

loop_
_atom_type_scat_symbol
_atom_type_scat_neutron_magnetic_j0_A1
_atom_type_scat_neutron_magnetic_j0_a2
_atom_type_scat_neutron_magnetic_j0_B1
_atom_type_scat_neutron_magnetic_j0_b2
_atom_type_scat_neutron_magnetic_j0_C1
_atom_type_scat_neutron_magnetic_j0_c2
_atom_type_scat_neutron_magnetic_j0_D
 Sc0+   0.2512 90.0296  0.3290 39.4021  0.4235 14.3222 -0.0043
 Sc1+   0.4889 51.1603  0.5203 14.0764 -0.0286  0.1792  0.0185
 Sc2+   0.5048 31.4035  0.5186 10.9897 -0.0241  1.1831  0.0000
 Ti0+   0.4657 33.5898  0.5490  9.8791 -0.0291  0.3232  0.0123
 Ti1+   0.5093 36.7033  0.5032 10.3713 -0.0263  0.3106  0.0116
 Ti2+   0.5091 24.9763  0.5162  8.7569 -0.0281  0.9160  0.0015
 Ti3+   0.3571 22.8413  0.6688  8.9306 -0.0354  0.4833  0.0099
 V0+    0.4086 28.8109  0.6077  8.5437 -0.0295  0.2768  0.0123
 V1+    0.4444 32.6479  0.5683  9.0971 -0.2285  0.0218  0.2150
